"Bairro";"Número de moradores";"Total"
"Centro - Curitiba (PR)";"Total";"17751"
"São Francisco - Curitiba (PR)";"Total";"2423"
"Centro Cívico - Curitiba (PR)";"Total";"2103"
"Alto da Glória - Curitiba (PR)";"Total";"2347"
"Alto da Rua XV - Curitiba (PR)";"Total";"3423"
"Cristo Rei - Curitiba (PR)";"Total";"5882"
"Jardim Botânico - Curitiba (PR)";"Total";"2216"
"Rebouças - Curitiba (PR)";"Total";"6140"
"Água Verde - Curitiba (PR)";"Total";"19670"
"Batel - Curitiba (PR)";"Total";"4275"
"Bigorrilho - Curitiba (PR)";"Total";"11680"
"Mercês - Curitiba (PR)";"Total";"4596"
"Bom Retiro - Curitiba (PR)";"Total";"1716"
"Ahu - Curitiba (PR)";"Total";"4213"
"Juveve - Curitiba (PR)";"Total";"4631"
"Cabral - Curitiba (PR)";"Total";"5215"
"Hugo Lange - Curitiba (PR)";"Total";"1169"
"Jardim Social - Curitiba (PR)";"Total";"1788"
"Tarumã - Curitiba (PR)";"Total";"2538"
"Capão da Imbuia - Curitiba (PR)";"Total";"6667"
"Cajuru - Curitiba (PR)";"Total";"29848"
"Jardim das Américas - Curitiba (PR)";"Total";"4810"
"Guabirotuba - Curitiba (PR)";"Total";"3674"
"Prado Velho - Curitiba (PR)";"Total";"1886"
"Parolin - Curitiba (PR)";"Total";"3474"
"Guaíra - Curitiba (PR)";"Total";"4751"
"Portão - Curitiba (PR)";"Total";"15196"
"Vila Izabel - Curitiba (PR)";"Total";"4503"
"Seminário - Curitiba (PR)";"Total";"2385"
"Campina do Siqueira - Curitiba (PR)";"Total";"2547"
"Vista Alegre - Curitiba (PR)";"Total";"3576"
"Pilarzinho - Curitiba (PR)";"Total";"9042"
"São Lourenço - Curitiba (PR)";"Total";"2022"
"Boa Vista - Curitiba (PR)";"Total";"10760"
"Bacacheri - Curitiba (PR)";"Total";"8263"
"Bairro Alto - Curitiba (PR)";"Total";"14792"
"Uberaba - Curitiba (PR)";"Total";"22216"
"Hauer - Curitiba (PR)";"Total";"4507"
"Fanny - Curitiba (PR)";"Total";"2672"
"Lindóia - Curitiba (PR)";"Total";"2728"
"Novo Mundo - Curitiba (PR)";"Total";"14370"
"Fazendinha - Curitiba (PR)";"Total";"9015"
"Santa Quitéria - Curitiba (PR)";"Total";"3833"
"Campo Comprido - Curitiba (PR)";"Total";"9724"
"Mossungue - Curitiba (PR)";"Total";"3193"
"Santo Inácio - Curitiba (PR)";"Total";"2029"
"Cascatinha - Curitiba (PR)";"Total";"687"
"São João - Curitiba (PR)";"Total";"1002"
"Taboão - Curitiba (PR)";"Total";"1122"
"Abranches - Curitiba (PR)";"Total";"4064"
"Cachoeira - Curitiba (PR)";"Total";"2876"
"Barreirinha - Curitiba (PR)";"Total";"5924"
"Santa Cândida - Curitiba (PR)";"Total";"10504"
"Tinguí - Curitiba (PR)";"Total";"4178"
"Atuba - Curitiba (PR)";"Total";"5033"
"Boqueirão - Curitiba (PR)";"Total";"23453"
"Xaxim - Curitiba (PR)";"Total";"17805"
"Capão Raso - Curitiba (PR)";"Total";"12152"
"Orleans - Curitiba (PR)";"Total";"2552"
"São Braz - Curitiba (PR)";"Total";"7330"
"Botiatuvinha - Curitiba (PR)";"Total";"3918"
"Lamenha Pequena - Curitiba (PR)";"Total";"326"
"Santa Felicidade - Curitiba (PR)";"Total";"9875"
"Alto Boqueirão - Curitiba (PR)";"Total";"16856"
"Sítio Cercado - Curitiba (PR)";"Total";"35251"
"Pinheirinho - Curitiba (PR)";"Total";"15561"
"São Miguel - Curitiba (PR)";"Total";"1366"
"Augusta - Curitiba (PR)";"Total";"1922"
"Riviera - Curitiba (PR)";"Total";"91"
"Caximba - Curitiba (PR)";"Total";"720"
"Campo de Santana - Curitiba (PR)";"Total";"8043"
"Ganchinho - Curitiba (PR)";"Total";"3217"
"Umbará - Curitiba (PR)";"Total";"5522"
"Tatuquara - Curitiba (PR)";"Total";"15313"
"Cidade Industrial de Curitiba - Curitiba (PR)";"Total";"52977"

